919,337,4,1545908
919,337,8,1522738
919,337,16,1588763
919,337,32,1679289
593,427,4,1507858
593,427,8,1522738
593,427,16,1588763
593,427,32,1679289
122,503,4,1504868
122,503,8,1519748
122,503,16,1549089
122,503,32,1676289
941,320,4,1545908
941,320,8,1522738
941,320,16,1549089
941,320,32,1679289
934,356,4,1545918
934,356,8,1522748
934,356,16,1588763
934,356,32,1679289
829,0,4,1501708
829,0,8,1516588
829,0,16,1582613
829,0,32,1673139
901,177,4,1504858
901,177,8,1516738
901,177,16,1549089
901,177,32,1676289
397,495,4,1507858
397,495,8,1522738
397,495,16,1552089
397,495,32,1679289
475,388,4,1545908
475,388,8,1522738
475,388,16,1588763
475,388,32,1679289
180,373,4,1504868
180,373,8,1519748
180,373,16,1582763
180,373,32,1640991
430,137,4,1504868
430,137,8,1483074
430,137,16,1585763
430,137,32,1676289
917,209,4,1542908
917,209,8,1519738
917,209,16,1585763
917,209,32,1676289
664,272,4,1545918
664,272,8,1522748
664,272,16,1588763
664,272,32,1679289
186,302,4,1501868
186,302,8,1519748
186,302,16,1546089
186,302,32,1676289
361,487,4,1545908
361,487,8,1522738
361,487,16,1552089
361,487,32,1679289
206,137,4,1539918
206,137,8,1554798
206,137,16,1546089
206,137,32,1673289
338,1,4,1504718
338,1,8,1519598
338,1,16,1548939
338,1,32,1676139
197,207,4,1501858
197,207,8,1516738
197,207,16,1582763
197,207,32,1709963
463,302,4,1507858
463,302,8,1522738
463,302,16,1588763
463,302,32,1679289
856,95,4,1504868
856,95,8,1519748
856,95,16,1549089
856,95,32,1712963
854,166,4,1582344
854,166,8,1519748
854,166,16,1549089
854,166,32,1676289
984,442,4,1507868
984,442,8,1522748
984,442,16,1552089
984,442,32,1679289
1,7,4,1539758
1,7,8,1516438
1,7,16,1582463
1,7,32,1709663
340,132,4,1504868
340,132,8,1519748
340,132,16,1549089
340,132,32,1676289
966,510,4,1507868
966,510,8,1522748
966,510,16,1552089
966,510,32,1679289
588,449,4,1507868
588,449,8,1519748
588,449,16,1585763
588,449,32,1751013
474,184,4,1504868
474,184,8,1519748
474,184,16,1585763
474,184,32,1676289
621,142,4,1504858
621,142,8,1519738
621,142,16,1585763
621,142,32,1676289
65,273,4,1542908
65,273,8,1516738
65,273,16,1585763
