"(128, 288) -> (160, 320)",16,4554611
"(128, 288) -> (160, 320)",32,6968757
"(128, 320) -> (160, 352)",4,3650989
"(128, 320) -> (160, 352)",8,3578277
"(128, 320) -> (160, 352)",16,4554611
"(128, 320) -> (160, 352)",32,7002679
"(128, 352) -> (160, 384)",4,3786677
"(128, 352) -> (160, 384)",8,3578277
"(128, 352) -> (160, 384)",16,4588533
"(128, 352) -> (160, 384)",32,6968757
"(128, 384) -> (160, 416)",4,4069061
"(128, 384) -> (160, 416)",8,3646121
"(128, 384) -> (160, 416)",16,4520689
"(128, 384) -> (160, 416)",32,7002679
"(128, 416) -> (160, 448)",4,3927869
"(128, 416) -> (160, 448)",8,3646121
"(128, 416) -> (160, 448)",16,4520689
"(128, 416) -> (160, 448)",32,6968757
"(128, 448) -> (160, 480)",4,3786677
"(128, 448) -> (160, 480)",8,3646121
"(128, 448) -> (160, 480)",16,4554611
"(128, 448) -> (160, 480)",32,7002679
"(128, 480) -> (160, 512)",4,3786677
"(128, 480) -> (160, 512)",8,3646121
"(128, 480) -> (160, 512)",16,4588533
"(128, 480) -> (160, 512)",32,7037977
"(160, 0) -> (192, 32)",4,3641389
"(160, 0) -> (192, 32)",8,3568977
"(160, 0) -> (192, 32)",16,4579383
"(160, 0) -> (192, 32)",32,6959607
"(160, 32) -> (192, 64)",4,3780677
"(160, 32) -> (192, 64)",8,3640121
"(160, 32) -> (192, 64)",16,4583909
"(160, 32) -> (192, 64)",32,6996679
"(160, 64) -> (192, 96)",4,3780677
"(160, 64) -> (192, 96)",8,3504433
"(160, 64) -> (192, 96)",16,4514689
"(160, 64) -> (192, 96)",32,6996679
"(160, 96) -> (192, 128)",4,3780677
"(160, 96) -> (192, 128)",8,3710717
"(160, 96) -> (192, 128)",16,4582533
"(160, 96) -> (192, 128)",32,6962757
"(160, 128) -> (192, 160)",4,3780677
"(160, 128) -> (192, 160)",8,3640121
"(160, 128) -> (192, 160)",16,4514689
"(160, 128) -> (192, 160)",32,6962757
"(160, 160) -> (192, 192)",4,3780677
"(160, 160) -> (192, 192)",8,3572277
"(160, 160) -> (192, 192)",16,4514689
"(160, 160) -> (192, 192)",32,6962757
"(160, 192) -> (192, 224)",4,3780677
"(160, 192) -> (192, 224)",8,3572277
"(160, 192) -> (192, 224)",16,4582533
"(160, 192) -> (192, 224)",32,6962757
"(160, 224) -> (192, 256)",4,3924869
"(160, 224) -> (192, 256)",8,3643121
"(160, 224) -> (192, 256)",16,4585533
"(160, 224) -> (192, 256)",32,6965757
"(160, 256) -> (192, 288)",4,3786677
"(160, 256) -> (192, 288)",8,3578277
"(160, 256) -> (192, 288)",16,4520689
"(160, 256) -> (192, 288)",32,6968757
"(160, 288) -> (192, 320)",4,3927869
"(160, 288) -> (192, 320)",8,3578277
"(160, 288) -> (192, 320)",16,4554611
"(160, 288) -> (192, 320)",32,6968757
"(160, 320) -> (192, 352)",4,3650989
"(160, 320) -> (192, 352)",8,3578277
"(160, 320) -> (192, 352)",16,4554611
"(160, 320) -> (192, 352)",32,7002679
"(160, 352) -> (192, 384)",4,3786677
"(160, 352) -> (192, 384)",8,3578277
"(160, 352) -> (192, 384)",16,4588533
"(160, 352) -> (192, 384)",32,6968757
"(160, 384) -> (192, 416)",4,4069061
"(160, 384) -> (192, 416)",8,3646121
"(160, 384) -> (192, 416)",16,4520689
"(160, 384) -> (192, 416)",32,7002679
"(160, 416) -> (192, 448)",4,3927869
"(160, 416) -> (192, 448)",8,3646121
"(160, 416) -> (192, 448)",16,4520689
"(160, 416) -> (192, 448)",32,7002679
"(160, 448) -> (192, 480)",4,3786677
"(160, 448) -> (192, 480)",8,3716717
"(160, 448) -> (192, 480)",16,4554611
"(160, 448) -> (192, 480)",32,7002679
"(160, 480) -> (192, 512)",4,3786677
"(160, 480) -> (192, 512)",8,3646121
"(160, 480) -> (192, 512)",16,4588533
"(160, 480) -> (192, 512)",32,7037977
"(192, 0) -> (224, 32)",4,3777077
"(192, 0) -> (224, 32)",8,3568977
"(192, 0) -> (224, 32)",16,4579383
"(192, 0) -> (224, 32)",32,6959607
"(192, 32) -> (224, 64)",4,3921869
"(192, 32) -> (224, 64)",8,3640121
"(192, 32) -> (224, 64)",16,4583909
"(192, 32) -> (224, 64)",32,6996679
"(192, 64) -> (224, 96)",4,3780677
"(192, 64) -> (224, 96)",8,3504433
"(192, 64) -> (224, 96)",16,4514689
"(192, 64) -> (224, 96)",32,6996679
"(192, 96) -> (224, 128)",4,3780677
"(192, 96) -> (224, 128)",8,3710717
"(192, 96) -> (224, 128)",16,4582533
"(192, 96) -> (224, 128)",32,6962757
"(192, 128) -> (224, 160)",4,3780677
"(192, 128) -> (224, 160)",8,3640121
"(192, 128) -> (224, 160)",16,4514689
"(192, 128) -> (224, 160)",32,6962757
"(192, 160) -> (224, 192)",4,3780677
"(192, 160) -> (224, 192)",8,3640121
"(192, 160) -> (224, 192)",16,4514689
"(192, 160) -> (224, 192)",32,6962757
"(192, 192) -> (224, 224)",4,3780677
"(192, 192) -> (224, 224)",8,3572277
"(192, 192) -> (224, 224)",16,4582533
"(192, 192) -> (224, 224)",32,6962757
"(192, 224) -> (224, 256)",4,3924869
"(192, 224) -> (224, 256)",8,3643121
"(192, 224) -> (224, 256)",16,4585533
"(192, 224) -> (224, 256)",32,6965757
"(192, 256) -> (224, 288)",4,3786677
"(192, 256) -> (224, 288)",8,3646121
"(192, 256) -> (224, 288)",16,4520689
"(192, 256) -> (224, 288)",32,6968757
"(192, 288) -> (224, 320)",4,3927869
"(192, 288) -> (224, 320)",8,3578277
"(192, 288) -> (224, 320)",16,4554611
"(192, 288) -> (224, 320)",32,6968757
"(192, 320) -> (224, 352)",4,3650989
"(192, 320) -> (224, 352)",8,3578277
"(192, 320) -> (224, 352)",16,4554611
"(192, 320) -> (224, 352)",32,7002679
"(192, 352) -> (224, 384)",4,3786677
"(192, 352) -> (224, 384)",8,3578277
"(192, 352) -> (224, 384)",16,4588533
"(192, 352) -> (224, 384)",32,6968757
"(192, 384) -> (224, 416)",4,4069061
"(192, 384) -> (224, 416)",8,3646121
"(192, 384) -> (224, 416)",16,4520689
"(192, 384) -> (224, 416)",32,7002679
"(192, 416) -> (224, 448)",4,3927869
"(192, 416) -> (224, 448)",8,3646121
"(192, 416) -> (224, 448)",16,4520689
"(192, 416) -> (224, 448)",32,7002679
"(192, 448) -> (224, 480)",4,3786677
"(192, 448) -> (224, 480)",8,3716717
"(192, 448) -> (224, 480)",16,4554611
"(192, 448) -> (224, 480)",32,7002679
"(192, 480) -> (224, 512)",4,3786677
"(192, 480) -> (224, 512)",8,3646121
"(192, 480) -> (224, 512)",16,4588533
"(192, 480) -> (224, 512)",32,7037977
"(224, 0) -> (256, 32)",4,3780077
"(224, 0) -> (256, 32)",8,3571977
"(224, 0) -> (256, 32)",16,4582383
"(224, 0) -> (256, 32)",32,6962607
"(224, 32) -> (256, 64)",4,3924869
"(224, 32) -> (256, 64)",8,3643121
"(224, 32) -> (256, 64)",16,4586909
"(224, 32) -> (256, 64)",32,6999679
"(224, 64) -> (256, 96)",4,3783677
"(224, 64) -> (256, 96)",8,3507433
"(224, 64) -> (256, 96)",16,4517689
"(224, 64) -> (256, 96)",32,6999679
"(224, 96) -> (256, 128)",4,3783677
"(224, 96) -> (256, 128)",8,3713717
"(224, 96) -> (256, 128)",16,4585533
"(224, 96) -> (256, 128)",32,6965757
"(224, 128) -> (256, 160)",4,3783677
"(224, 128) -> (256, 160)",8,3643121
"(224, 128) -> (256, 160)",16,4517689
"(224, 128) -> (256, 160)",32,6965757
"(224, 160) -> (256, 192)",4,3783677
"(224, 160) -> (256, 192)",8,3643121
"(224, 160) -> (256, 192)",16,4517689
"(224, 160) -> (256, 192)",32,6965757
"(224, 192) -> (256, 224)",4,3783677
"(224, 192) -> (256, 224)",8,3643121
"(224, 192) -> (256, 224)",16,4585533
"(224, 192) -> (256, 224)",32,6965757
"(224, 224) -> (256, 256)",4,3927869
"(224, 224) -> (256, 256)",8,3716717
"(224, 224) -> (256, 256)",16,4588533
"(224, 224) -> (256, 256)",32,7002679
"(224, 256) -> (256, 288)",4,3789677
"(224, 256) -> (256, 288)",8,3649121
"(224, 256) -> (256, 288)",16,4591533
"(224, 256) -> (256, 288)",32,6971757
"(224, 288) -> (256, 320)",4,3930869
"(224, 288) -> (256, 320)",8,3581277
"(224, 288) -> (256, 320)",16,4557611
"(224, 288) -> (256, 320)",32,6971757
"(224, 320) -> (256, 352)",4,3789677
"(224, 320) -> (256, 352)",8,3581277
"(224, 320) -> (256, 352)",16,4591533
"(224, 320) -> (256, 352)",32,7005679
"(224, 352) -> (256, 384)",4,3789677
"(224, 352) -> (256, 384)",8,3581277
"(224, 352) -> (256, 384)",16,4591533
"(224, 352) -> (256, 384)",32,6971757
"(224, 384) -> (256, 416)",4,4072061
"(224, 384) -> (256, 416)",8,3649121
"(224, 384) -> (256, 416)",16,4523689
"(224, 384) -> (256, 416)",32,7005679
"(224, 416) -> (256, 448)",4,3930869
"(224, 416) -> (256, 448)",8,3649121
"(224, 416) -> (256, 448)",16,4523689
"(224, 416) -> (256, 448)",32,7005679
"(224, 448) -> (256, 480)",4,3789677
